iter	Logloss
180	0.4649637785
181	0.4648836187
182	0.4648247356
183	0.4647601158
184	0.4647053597
185	0.4646347538
186	0.4646098972
187	0.4645636708
188	0.4645089709
189	0.4644578501
190	0.4643871952
191	0.4643377041
192	0.4642874711
193	0.4642546632
194	0.4642108905
195	0.4641485777
196	0.4641120281
197	0.4640611608
198	0.4640171224
199	0.4639687386
200	0.4639187461
201	0.4639021894
202	0.4638490513
203	0.4637899998
204	0.4637652282
205	0.4636973228
206	0.4636599417
207	0.4636258907
208	0.4635962625
209	0.4635502178
210	0.4634903359
211	0.4634604024
212	0.463424403
213	0.4633834029
214	0.4633366972
215	0.463304903
216	0.4632601613
217	0.4632334139
218	0.4632146668
219	0.4631536857
220	0.4631096022
221	0.4630596438
222	0.4630191379
223	0.462964885
224	0.462923205
225	0.4628867849
226	0.4628440186
227	0.462781012
228	0.4627157559
229	0.4626556814
230	0.4626173732
231	0.4625620506
232	0.4624987073
233	0.4624472236
234	0.4623904707
235	0.4623564066
236	0.4623175449
237	0.4622731609
238	0.4621980193
239	0.462159479
240	0.4620918441
241	0.4620590086
242	0.4620225077
243	0.4619567678
244	0.4619226706
245	0.4618440859
246	0.4618127506
247	0.4617365112
248	0.4616943204
249	0.4616305062
250	0.4615642028
251	0.4615196522
252	0.4614749393
253	0.4614072861
254	0.4613457912
255	0.461279566
256	0.461231756
257	0.4611986298
258	0.4611578311
259	0.4611243255
260	0.4610755308
261	0.4610456651
262	0.4609974677
263	0.4609633072
264	0.4609329617
265	0.4608792361
266	0.4608191002
267	0.460764006
268	0.4607347478
269	0.4606759292
270	0.4606216877
271	0.4605698807
272	0.460497981
273	0.4604098421
274	0.4603625224
275	0.4603220362
276	0.4602732373
277	0.4602538933
278	0.4602170939
279	0.4601430269
280	0.4600866548
281	0.4600429098
282	0.4599976244
283	0.45995547
284	0.4598880153
285	0.459831397
286	0.4597594081
287	0.4597290833
288	0.4596876433
289	0.4596495676
290	0.4596017642
291	0.4595652077
292	0.4595096212
293	0.4594838993
294	0.4594231304
295	0.4593604666
296	0.4593105627
297	0.4592532288
298	0.4592084
299	0.4591736504
300	0.4591106311
301	0.4590847911
302	0.4590491524
303	0.4590286775
304	0.458969931
305	0.4589497068
306	0.4588950397
307	0.4588452133
308	0.4588033287
309	0.4587556263
310	0.4586920649
311	0.4586475405
312	0.4586185569
313	0.4585842706
314	0.4585632517
315	0.4585168574
316	0.4584967343
317	0.4584625159
318	0.4584141899
319	0.4583575949
320	0.4583016737
321	0.4582797479
322	0.4582295412
323	0.458169554
324	0.4581118888
325	0.4580502564
326	0.458025135
327	0.4579969938
328	0.4579503957
329	0.4579091679
330	0.4578537157
331	0.4578199365
332	0.4578060407
333	0.4577537157
334	0.4577064614
335	0.4576497159
336	0.4575960566
337	0.4575508346
338	0.4575153819
339	0.4574597996
340	0.4574108865
341	0.4573760528
342	0.4573355472
343	0.4573141834
344	0.4572613112
345	0.4572098291
346	0.4571709946
347	0.4571215078
348	0.4570864686
349	0.4570618025
350	0.4570307164
351	0.456977196
352	0.4569538634
353	0.4569313376
354	0.4569125597
355	0.4568743804
356	0.456812836
357	0.4567841228
358	0.4567392268
359	0.4566757398
360	0.4566141576
361	0.4565499991
362	0.4565221253
363	0.4564842508
364	0.4564442435
365	0.4564132037
366	0.45639095
367	0.456345763
368	0.4563180703
369	0.4562901224
370	0.4562421021
371	0.4562014479
372	0.4561526608
373	0.4561076672
374	0.4560483191
375	0.4560243394
376	0.4559860884
377	0.4559450365
378	0.4558704212
379	0.4558430762
380	0.4557893283
381	0.4557495381
382	0.4556994575
383	0.45565013
384	0.455596859
385	0.455549389
386	0.4555188809
387	0.4554744267
388	0.4554253397
389	0.4553724712
390	0.4553488538
391	0.455300718
392	0.4552677449
393	0.4552038241
394	0.4551598669
395	0.4551336571
396	0.4551064875
397	0.455048916
398	0.4550131554
399	0.4549978409
400	0.4549513972
401	0.4548976937
402	0.4548537971
403	0.4548204993
404	0.4547615019
405	0.4547302871
406	0.4546902128
407	0.4546567243
408	0.4546107039
409	0.4545601299
410	0.4545416004
411	0.454501696
412	0.4544455787
413	0.4543924772
414	0.4543428541
415	0.4542689033
416	0.4542395495
417	0.4541999943
418	0.4541672676
419	0.4541276986
420	0.4541054936
421	0.4540596844
422	0.4540502571
423	0.4540178339
424	0.4539798137
425	0.4539586344
426	0.4539119797
427	0.4538755941
428	0.4538385906
429	0.4538120055
430	0.4537795504
431	0.4537442153
432	0.4537166028
433	0.453676907
434	0.4536363436
435	0.4536211745
436	0.4536002411
437	0.4535524908
438	0.4535006151
439	0.4534408058
440	0.4533606876
441	0.453320107
442	0.4532846444
443	0.4532356282
444	0.4531930181
445	0.4531551297
446	0.4531294653
447	0.4531128747
448	0.4530737911
449	0.4530534389
450	0.4530134255
451	0.453002276
452	0.4529146062
453	0.4528763044
454	0.4528216575
455	0.4527435433
456	0.4526975772
457	0.4526443697
458	0.4525841634
459	0.4525429444
460	0.4525015295
461	0.4524730107
462	0.4524208026
463	0.4523841598
464	0.4523483306
465	0.4523300197
466	0.4522830677
467	0.4522524696
468	0.4522141719
469	0.4521600287
470	0.4521094482
471	0.452083244
472	0.4520801008
473	0.452020834
474	0.45198175
475	0.4519457667
476	0.4518928661
477	0.4518278549
478	0.4517796523
479	0.451720283
480	0.4516762036
481	0.4516456282
482	0.4516056744
483	0.4515742429
484	0.4515231578
485	0.4514701254
486	0.4514176182
487	0.4513836105
488	0.4513518235
489	0.4513110762
490	0.4512567602
491	0.4512226921
492	0.45119097
493	0.4511664362
494	0.4511202627
495	0.4510652614
496	0.4510600148
497	0.4510083557
498	0.4509507238
499	0.4509087764
500	0.4508679748
501	0.4508334919
502	0.4507810297
503	0.4507559727
504	0.4507217462
505	0.4506928413
506	0.4506510817
507	0.4505977961
508	0.4505485323
509	0.4505238317
510	0.4504761886
511	0.4504384474
512	0.450384082
513	0.4503517993
514	0.4502960407
515	0.4502648785
516	0.4502324327
517	0.4501938933
518	0.4501541966
519	0.4501306905
520	0.4501080724
521	0.4500648552
522	0.4500207637
523	0.450006717
524	0.449929214
525	0.4498862244
526	0.4498476019
527	0.4497883316
528	0.4497506081
529	0.4496993431
530	0.4496536381
531	0.4496213205
532	0.4495933913
533	0.4495561609
534	0.4495070928
535	0.4494674169
536	0.4494332438
537	0.4493759812
538	0.4493093947
539	0.4492673555
540	0.449226688
541	0.4491856372
542	0.4491553357
543	0.4490996862
544	0.449061826
545	0.4490228412
546	0.4489848055
547	0.4489250414
548	0.4489082982
549	0.4488808378
550	0.4488760405
551	0.4488343222
552	0.4487992963
553	0.4487676395
554	0.4487244365
555	0.4486730683
556	0.4486542235
557	0.4486200089
558	0.4485899926
559	0.4485651305
560	0.4485355265
561	0.4484956295
562	0.4484687282
563	0.4484213176
564	0.4483975426
565	0.4483560183
566	0.4482923715
567	0.4482670412
568	0.4482357701
569	0.4481937959
570	0.4481472553
571	0.448110286
572	0.4480624543
573	0.4480222103
574	0.4479953249
575	0.4479557247
576	0.4478975349
577	0.4478503219
578	0.4478220422
579	0.4477758404
580	0.4477349499
581	0.4477213776
582	0.447688186
583	0.4476480845
584	0.4476241358
585	0.4475849799
586	0.447536386
587	0.4474913227
588	0.4474659117
589	0.4474394024
590	0.4474235094
591	0.4473910984
592	0.4473383667
593	0.4473032911
594	0.4472677007
595	0.4472534489
596	0.447218814
597	0.447178215
598	0.4471315357
599	0.4470795744
600	0.4470600211
601	0.4470251043
602	0.4469977396
603	0.446957475
604	0.4469200973
605	0.4468768237
606	0.4468427604
607	0.4468073293
608	0.4467726615
609	0.4467311262
610	0.4467052113
611	0.446685034
612	0.44663114
613	0.446604203
614	0.4465634573
615	0.4465203727
616	0.4464965487
617	0.4464449831
618	0.4464047449
619	0.4463566636
620	0.4462845984
621	0.4462203182
622	0.4462102714
623	0.4461796314
624	0.4461686828
625	0.4461407588
626	0.4460838678
627	0.4460225593
628	0.445990529
629	0.4459530538
630	0.4459145289
631	0.4458772751
632	0.4458407755
633	0.4458212872
634	0.445785386
635	0.4457478087
636	0.4457104951
637	0.4456813881
638	0.4456311384
639	0.4455940154
640	0.4455594573
641	0.4455253525
642	0.4454937088
643	0.4454577011
644	0.4454206151
645	0.4453831714
646	0.4453492731
647	0.4453084149
648	0.4452813486
649	0.4452427894
650	0.4451710508
651	0.4451557804
652	0.445134997
653	0.4450813798
654	0.445025162
655	0.4450001147
656	0.44495464
657	0.4449008335
658	0.4448636029
659	0.4447876553
660	0.4447407953
661	0.444702855
662	0.4446834486
663	0.4446323233
664	0.4446146301
665	0.4445834676
666	0.4445252253
667	0.4444843374
668	0.4444684994
669	0.4444295113
670	0.4444193413
671	0.444374379
672	0.4443210659
673	0.4442981221
674	0.4442657655
675	0.4442155927
676	0.444176432
677	0.4441375362
678	0.4440829829
679	0.4440180942
680	0.4439936893
681	0.4439629345
682	0.4439349253
683	0.4439110971
684	0.4438795113
685	0.4438429584
686	0.4438226623
687	0.4437845835
688	0.4437526036
689	0.4437092436
690	0.4436818945
691	0.4436550156
692	0.4436275964
693	0.4435674604
694	0.4435291038
695	0.4434940789
696	0.4434499124
697	0.4434465238
698	0.4434188153
699	0.4433984591
700	0.4433503436
701	0.4433034636
702	0.443255084
703	0.4432110003
704	0.4431690726
705	0.4431437857
706	0.4431229933
707	0.4430723123
708	0.4430441715
709	0.4430029602
710	0.4429986516
711	0.4429531414
712	0.4429184534
713	0.4428848182
714	0.4428268276
715	0.4427917224
716	0.4427483666
717	0.4427097115
718	0.442683242
719	0.4426309953
720	0.4425905386
721	0.4425457217
722	0.4424984719
723	0.4424594274
724	0.4424051371
725	0.4423841057
726	0.4423731574
727	0.4423505357
728	0.4423171353
729	0.4422882734
730	0.4422550679
731	0.4422217793
732	0.4421892567
733	0.4421658864
734	0.4421358711
735	0.4420970255
736	0.4420769943
737	0.4420229431
738	0.4419627191
739	0.4419110278
740	0.4418904541
741	0.4418575522
742	0.4418358793
743	0.4418038159
744	0.4417909373
745	0.4417513864
746	0.4417166195
747	0.4416690177
748	0.4415995334
749	0.4415696295
750	0.4415508367
751	0.4415053421
752	0.4414690669
753	0.4414404813
754	0.4413996047
755	0.4413692286
756	0.4413403136
757	0.4413046726
758	0.4412866798
759	0.4412595518
760	0.4411970912
761	0.4411628498
762	0.4411368321
763	0.4411154804
764	0.441063956
765	0.4410219904
766	0.4409764532
767	0.4409553981
768	0.4409331848
769	0.4409031536
770	0.4408695923
771	0.4408660922
772	0.4408329291
773	0.4407945669
774	0.4407638638
775	0.4407337389
776	0.440699785
777	0.4406543156
778	0.4406239598
779	0.4406010838
780	0.4405422602
781	0.440501006
782	0.4404718121
783	0.4404373056
784	0.4403966022
785	0.4403925726
786	0.4403758792
787	0.4403492078
788	0.4403298557
789	0.4402763117
790	0.4402280089
791	0.4401702513
792	0.4401215431
793	0.4401004616
794	0.4400557741
795	0.4400236294
796	0.43999025
797	0.4399613297
798	0.439918361
799	0.4399143732
800	0.4399013249
801	0.4398844121
802	0.4398325915
803	0.4398087241
804	0.4397826141
805	0.4397739898
806	0.4397389307
807	0.4397048077
808	0.4396763243
809	0.4396295363
810	0.4395896475
811	0.4395550339
812	0.4395102877
813	0.4394753877
814	0.4394513765
815	0.4394013764
816	0.4393776671
817	0.4393509234
818	0.4393174528
819	0.4392981682
820	0.4392870869
821	0.4392534685
822	0.4392375765
823	0.4391875417
824	0.4391740391
825	0.439149633
826	0.4391099439
827	0.4390741732
828	0.4390424912
829	0.4390037244
830	0.4389662289
831	0.4389277026
832	0.4388994335
833	0.4388684578
834	0.4388307145
835	0.4388036442
836	0.4387665491
837	0.4387351524
838	0.4386922809
839	0.4386471008
840	0.4386191477
841	0.4385831371
842	0.4385337522
843	0.4384877435
844	0.4384725051
845	0.4384560775
846	0.438444685
847	0.4384156517
848	0.4383743837
849	0.4383645298
850	0.4383400422
851	0.438303527
852	0.4382676203
853	0.4382339072
854	0.4381939403
855	0.4381673463
856	0.438129045
857	0.4381154531
858	0.4380979919
859	0.4380668133
860	0.4380412393
861	0.4379984953
862	0.437977181
863	0.4379420379
864	0.4379199602
865	0.4378925546
866	0.4378767933
867	0.4378413306
868	0.4378133503
869	0.4377669475
870	0.4377202019
871	0.4376890652
872	0.4376702454
873	0.4376465433
874	0.437617933
875	0.4375992382
876	0.4375763452
877	0.4375383502
878	0.4375105774
879	0.4374654656
880	0.4374257997
881	0.4373970923
882	0.4373491397
883	0.4373303199
884	0.437316189
885	0.4372820041
886	0.4372532152
887	0.4372371441
888	0.437216198
889	0.4371729821
890	0.4371323078
891	0.4371007633
892	0.4370463316
893	0.4370089379
894	0.4369826023
895	0.4369478692
896	0.4369118326
897	0.4369053665
898	0.4368632909
899	0.43681688
900	0.4367989347
901	0.4367970238
902	0.4367798151
903	0.4367407154
904	0.4367144033
905	0.4366671827
906	0.43664578
907	0.4366031541
908	0.4365467195
909	0.4365131249
910	0.4364852734
911	0.4364438334
912	0.4364149244
913	0.4363873317
914	0.4363572536
915	0.4363188928
916	0.4362906633
917	0.4362781776
918	0.4362394529
919	0.4361940521
920	0.4361654216
921	0.4361563619
922	0.4361215098
923	0.4361132218
924	0.4360791093
925	0.4360674401
926	0.4360334331
927	0.4360078311
928	0.435967907
929	0.4359235199
930	0.4358901979
931	0.4358517093
932	0.4358002587
933	0.4357678513
934	0.4357417922
935	0.4357028807
936	0.4356892338
937	0.4356537543
938	0.4356352965
939	0.4355960734
940	0.4355820716
941	0.4355486928
942	0.4355290413
943	0.4354975143
944	0.4354653379
945	0.4354525264
946	0.4354133497
947	0.435386981
948	0.4353451333
949	0.4353071963
950	0.4352801393
951	0.435269849
952	0.435250561
953	0.4352279192
954	0.4352022121
955	0.4351518354
956	0.4351126315
957	0.435075423
958	0.4350520461
959	0.4350222488
960	0.4349937773
961	0.4349718778
962	0.4349460681
963	0.4349179282
964	0.4348724473
965	0.434827876
966	0.4347853842
967	0.4347494134
968	0.4347216703
969	0.4346985662
970	0.4346468392
971	0.4346125059
972	0.4345750601
973	0.4345723673
974	0.4345359504
975	0.4345063517
976	0.4344888336
977	0.4344601682
978	0.4344217715
979	0.434403958
980	0.4343591894
981	0.434315543
982	0.4342964112
983	0.4342816981
984	0.434229917
985	0.4341911544
986	0.4341525744
987	0.4341375066
988	0.4341051064
989	0.4340592075
990	0.4340084046
991	0.4339727599
992	0.4339355693
993	0.4338809493
994	0.4338478842
995	0.433837003
996	0.4337791582
997	0.4337347846
998	0.433707007
999	0.4336677799
